id,metadata,first_sentence,moves
1,"Kojola, E.a , Xiao, C.b , Mccright, A.M.c  Environmental concern of labor union members in the united states (2014) Sociological Quarterly, 55 (1), pp. 72-91.","The labor and environmental movements have had a complicated relationship with periods of cooperation as well as conflict, but recently there has been increasing collaboration at the national level.",<1> <1> <1> <2> <3> <4> <5>
2,"Julsrud, T.E.a  b , Denstadli, J.M.a , Hjorthol, R.J.a  Business Networking, Travel Tiredness, and the Emergent Use of Video Conferences (2014) International Journal of Sustainable Transportation, 8 (4), pp. 262-280.",This article explores business travelers attitudes to videoconferencing and how these affect on the use of this technology.,<1> <2> <4>
3,"Manthey, T.J. A pilot study of introductory motivational interviewing training for supported employment case managers (2013) International Journal of Psychosocial Rehabilitation, 18 (1), pp. 133-138.",To conduct an initial pilot study to determine if introductory motivational interviewing will lead to initial knowledge and attitudinal shifts within case-managers who work in an employment focused setting.,<2> <3> <4> <5> <5>
4,"Yu, X. Is environment 'a city thing' in China? Rural-urban differences in environmental attitudes (2014) Journal of Environmental Psychology, 38, pp. 39-48.","With the rise of environmentalism in China, great efforts have been devoted to understanding Chinese people's environmental attitudes.",<1> <1> <2> <4> <4> <5> <5>
5,"Passafaro, P.a , Rimano, A.b , Piccini, M.P.c , Metastasio, R.a , Gambardella, V.a , Gullace, G.a , Lettieri, C.a  The bicycle and the city: Desires and emotions versus attitudes, habits and norms (2014) Journal of Environmental Psychology, 38, pp. 76-83.",The paper explores the motivational basis of the use of the bicycle for daily travel necessities in a big city.,<1> <2> <3> <4> <5>
6,"Zenker, S.a , RÃ¼tter, N.b  Is satisfaction the keyÎ± The role of citizen satisfaction, place attachment and place brand attitude on positive citizenship behavior (2014) Cities, 38, pp. 11-17.","Even though satisfaction is a main research topic in many disciplines (especially in marketing and organizational studies), surprisingly few attempts have been made to discern the role of satisfaction in the field of urban research, at least compared to other concepts such as place attachment.",<1> <2> <3> <5>
7,"Bianchi, C.a  b , Pike, S.b , Lings, I.b  Investigating attitudes towards three South American destinations in an emerging long haul market using a model of consumer-based brand equity (CBBE) (2014) Tourism Management, 42, pp. 215-223.","Despite the importance of destination image in market competitiveness, and the popularity of the field within tourism literature, there remains a dearth of published research examining travellers' perceptions of destinations in South America.",<1> <2> <3> <3> <4> <5>
8,"PaillÃ©, P.a , MejÃ­a-Morelos, J.H.b  Antecedents of pro-environmental behaviours at work: The moderating influence of psychological contract breach (2014) Journal of Environmental Psychology, 38, pp. 124-131.",This study uses the tenets of social exchange theory to examine employee willingness to perform pro-environmental behaviours (PEBs) in a workplace setting.,<1> <2> <2> <3> <4>
9,"Drummond, A.a , Palmer, M.A.b  Heart rate change and attitudes to global warming: A conceptual replication of the visceral fit mechanism (2014) Journal of Environmental Psychology, 38, pp. 10-16.","Visceral fit effects occur when a physical state (e.g., warmth) increases the plausibility of future related states (e.g., global warming).",<1> <2> <3> <4> <4> <5>
10,"Gin, J.L.a , Stein, J.A.a , Heslin, K.C.a  b , Dobalian, A.a  b  c  Responding to risk: Awareness and action after the September 11, 2001 terrorist attacks (2014) Safety Science, 65, pp. 86-92.","Adoption of preparedness measures among the US public remains low after the expansion of the all-hazards approach to personal preparedness campaigns following the terrorist attacks of September 11, 2001 (9/11).",<1> <2> <3> <4> <5> <5>
11,"Song, H.a , You, G.-J.b , Reisinger, Y.c , Lee, C.-K.b , Lee, S.-K.b  Behavioral intention of visitors to an Oriental medicine festival: An extended model of goal directed behavior (2014) Tourism Management, 42, pp. 101-113.","Despite the importance of Oriental medicine festivals to Oriental medical tourism, little research has been conducted to understand the behavioral intention of visitors to these festivals.",<1> <2> <3> <3> <4> <4> <5>
12,"Tessitore, T., Pandelaere, M., Van Kerckhove, A. The Amazing Race to India: Prominence in reality television affects destination image and travel intentions (2014) Tourism Management, 42, pp. 3-12.","Considering the increasing popularity of reality television shows, this research investigated the impact of a destination placement in reality television on tourism.",<1> <2> <4> <4> <5>
13,"Howley, P.a , Yadav, L.b , Hynes, S.c , Donoghue, C.O.d , Neill, S.O.c  Contrasting the attitudes of farmers and the general public regarding the 'multifunctional' role of the agricultural sector (2014) Land Use Policy, 38, pp. 248-256.","Using separate nationally representative surveys, this study compared the views and perspectives of farmers towards agricultural related conservation issues with that of the general public.",<1> <4> <5> <4> <6> <4> <4> <4> <5>
14,"Sell, A., Mezei, J., Walden, P. An attitude-based latent class segmentation analysis of mobile phone users (2014) Telematics and Informatics, 31 (2), pp. 209-219.",We present a segmentation study utilizing latent class analysis with the object of segmenting consumers with regard to their usage of mobile technology.,<1> <2> <3> <5>
15,"Vitman-Schorr, A.a , Iecovich, E.b , Alfasi, N.c  Reliability and Validity of a Hebrew Version of the Kogan's Attitudes Toward Old People Scale (2014) Educational Gerontology, 40 (5), pp. 315-326.",The objective of this study was to evaluate the reliability and validity of the Hebrew version of Kogan's (1961) Attitudes Toward Old People scale.,<2> <3> <4> <4> <4> <5> <5>
16,"Farizo, B.A.a , Louviere, J.J.b , SoliÃ±o, M.c  d  Mixed integration of individual background, attitudes and tastes for landscape management (2014) Land Use Policy, 38, pp. 477-486.",This paper discusses the design and analysis of a choice experiment regarding preferences for possible transformations of a mountain landscape traditionally used for grazing.,<1> <1> <3> <4> <4> <4>
17,"Vanden Abeele, M., Antheunis, M.L., Schouten, A.P. Me, myself and my mobile: A segmentation of youths based on their attitudes towards the mobile phone as a status instrument (2014) Telematics and Informatics, 31 (2), pp. 194-208.",The importance of the mobile phone in the life of adolescents has led observers to speak of a Mobile Youth Culture.,<1> <1> <2> <2> <3> <4> <4>
18,"Smallman, R.a , Becker, B.a , Roese, N.J.b  Preferences for expressing preferences: People prefer finer evaluative distinctions for liked than disliked objects (2014) Journal of Experimental Social Psychology, 52, pp. 25-31.","Past research showed that people draw finer categorical distinctions for liked than disliked objects, such that a wine lover, for example, sees greater detail and nuance among types of wine than does a non-lover.",<1> <2> <2> <2> <3> <4> <4> <5>
19,"Skwarchuk, S.-L.a , Sowinski, C.b , LeFevre, J.-A.c  Formal and informal home learning activities in relation to children's early numeracy and literacy skills: The development of a home numeracy model (2014) Journal of Experimental Child Psychology, 121 (1), pp. 63-84.","The purpose of this study was to propose and test a model of children's home numeracy experience based on S?n?chal and LeFevre's home literacy model (Child Development, 73 (2002) 445-460).",<2> <3> <3> <3> <4> <4> <5>
20,"Taber, J.M.a , Aspinwall, L.G.a , Heichman, K.A.b  c , Kinney, A.Y.d  Preferences for blood-based colon cancer screening differ by race/ethnicity (2014) American Journal of Health Behavior, 38 (3), pp. 351-361.","Objectives: To examine attitudes of a diverse community-based sample toward SEPT9, a simple, cost-effective colorectal cancer (CRC) blood test.",<1> <3> <4> <4> <4> <5> <5>
